operador aparelho bloco obs
1 1 1 22.4
1 2 1 22.9
1 3 1 23.5
1 4 1 22.5
1 5 1 21.45
2 1 1 22.65
2 2 1 23
2 3 1 22
2 4 1 22.9
2 5 1 21.45
3 1 1 22.5
3 2 1 22.5
3 3 1 22.75
3 4 1 21.75
3 5 1 21.35
4 1 1 21.25
4 2 1 22.1
4 3 1 21.25
4 4 1 21.9
4 5 1 21.2
1 1 2 20.85
1 2 2 21.4
1 3 2 21
1 4 2 20.5
1 5 2 19.2
2 1 2 20.65
2 2 2 20.7
2 3 2 19.5
2 4 2 21.2
2 5 2 18.9
3 1 2 21.25
3 2 2 21
3 3 2 20.5
3 4 2 19.35
3 5 2 19.2
4 1 2 21.25
4 2 2 21.6
4 3 2 21.5
4 4 2 21
4 5 2 18.9
1 1 3 23.6
1 2 3 23.95
1 3 3 23.75
1 4 3 23.2
1 5 3 23.35
2 1 3 23
2 2 3 22.5
2 3 3 23.25
2 4 3 24.6
2 5 3 23.2
3 1 3 23.1
3 2 3 23
3 3 3 22.75
3 4 3 21.75
3 5 3 23.2
4 1 3 22.25
4 2 3 22.35
4 3 3 22.1
4 4 3 22.75
4 5 3 23.3
1 1 4 21
1 2 4 22.25
1 3 4 20.75
1 4 4 21
1 5 4 20.35
2 1 4 20.75
2 2 4 20.95
2 3 4 20.5
2 4 4 21.5
2 5 4 20.25
3 1 4 20.6
3 2 4 21.75
3 3 4 19.5
3 4 4 19.5
3 5 4 20.3
4 1 4 21.25
4 2 4 21.75
4 3 4 21.7
4 4 4 20.75
4 5 4 20.3
1 1 5 19.1
1 2 5 21.4
1 3 5 19.5
1 4 5 21
1 5 5 19.95
2 1 5 20.25
2 2 5 22.25
2 3 5 21.25
2 4 5 21.2
2 5 5 19.95
3 1 5 21
3 2 5 22.75
3 3 5 20.5
3 4 5 20.5
3 5 5 20
4 1 5 18
4 2 5 19.75
4 3 5 19.75
4 4 5 19.7
4 5 5 19.9
1 1 6 19.8
1 2 6 21
1 3 6 19.5
1 4 6 18.9
1 5 6 19.35
2 1 6 19.8
2 2 6 20.75
2 3 6 19.75
2 4 6 20
2 5 6 19.2
3 1 6 19.5
3 2 6 20.35
3 3 6 19.75
3 4 6 19
3 5 6 19.3
4 1 6 20
4 2 6 20.65
4 3 6 19.75
4 4 6 20
4 5 6 19.3
1 1 7 16.55
1 2 7 16.9
1 3 7 17.5
1 4 7 17.8
1 5 7 17.45
2 1 7 17.25
2 2 7 18
2 3 7 17.75
2 4 7 18.7
2 5 7 17.35
3 1 7 16.6
3 2 7 17.2
3 3 7 17.25
3 4 7 16.35
3 5 7 17.5
4 1 7 17.25
4 2 7 16.7
4 3 7 18.2
4 4 7 18.45
4 5 7 17.4
1 1 8 14.75
1 2 8 14.85
1 3 8 14.5
1 4 8 14.3
1 5 8 14.45
2 1 8 15
2 2 8 14.75
2 3 8 14.75
2 4 8 15
2 5 8 14.35
3 1 8 14.35
3 2 8 14.85
3 3 8 14.25
3 4 8 14.1
3 5 8 14.4
4 1 8 14.65
4 2 8 15.75
4 3 8 14.6
4 4 8 14.3
4 5 8 14.5
1 1 9 21.1
1 2 9 22
1 3 9 20
1 4 9 20.6
1 5 9 22
2 1 9 19.75
2 2 9 20.5
2 3 9 20.5
2 4 9 21.5
2 5 9 21.8
3 1 9 20.75
3 2 9 22.35
3 3 9 21.5
3 4 9 20.85
3 5 9 21.9
4 1 9 21
4 2 9 20.85
4 3 9 21.25
4 4 9 20.75
4 5 9 22
1 1 10 14.3
1 2 10 15
1 3 10 14
1 4 10 14.2
1 5 10 14.75
2 1 10 14.25
2 2 10 15.25
2 3 10 14.25
2 4 10 14.2
2 5 10 14.65
3 1 10 14.1
3 2 10 16
3 3 10 14.25
3 4 10 13.85
3 5 10 14.8
4 1 10 14.25
4 2 10 15.4
4 3 10 14.75
4 4 10 15.1
4 5 10 14.4
